akr_id,akr_name,akr_code,obs_id,obs_name,obs_code
1537,Large Sculpins - Yellow Irish Lord,285,532,YELLOW IRISH LORD,414
1531,Other Small Sculpins,160,550,SPINYHEAD SCULPIN,401
1531,Other Small Sculpins,160,560,DARKFIN SCULPIN,395
1525,Dusky Rockfish,172,562,DUSKY ROCKFISH UNIDENTIFIED,355
1010,"Clam, surf",812,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1621,"Skate, Other",700,1246,SOFT SNOUT SKATE,159
1531,Other Small Sculpins,160,1250,ICELUS EURYOPS,432
1519,"Snailfish, general",218,1254,LIPARIS OCHOTENSIS,503
1525,Dusky Rockfish,172,1527,DUSKY ROCKFISH,330
73,"Shark, Other",689,1634,BASKING SHARK,156
